s,m,,1/s,W/m2/K,C,C
Time,"Wall thickness","mpua","mlrpua","Front HTC","Front T","Back T"
 1.4400000E+002, 7.9993522E-003, 9.9984437E-001, 8.6776354E-006, 1.5000000E+001, 2.9827643E+002, 1.3469118E+002
 1.4500000E+002, 7.9993140E-003, 9.9983525E-001, 9.1210832E-006, 1.5000000E+001, 2.9894379E+002, 1.3577606E+002
 1.4600000E+002, 7.9992739E-003, 9.9982566E-001, 9.5836940E-006, 1.5000000E+001, 2.9960843E+002, 1.3685918E+002
 1.4700000E+002, 7.9992311E-003, 9.9981558E-001, 1.0066565E-005, 1.5000000E+001, 3.0026892E+002, 1.3794046E+002
 1.4800000E+002, 7.9991873E-003, 9.9980503E-001, 1.0569749E-005, 1.5000000E+001, 3.0092596E+002, 1.3901987E+002
 1.4900000E+002, 7.9991398E-003, 9.9979395E-001, 1.1094108E-005, 1.5000000E+001, 3.0157990E+002, 1.4009743E+002
 1.5000000E+002, 7.9990914E-003, 9.9978232E-001, 1.1640682E-005, 1.5000000E+001, 3.0223019E+002, 1.4117308E+002
 1.5100000E+002, 7.9990402E-003, 9.9977010E-001, 1.2209811E-005, 1.5000000E+001, 3.0287686E+002, 1.4224678E+002
 1.5200000E+002, 7.9989862E-003, 9.9975729E-001, 1.2802239E-005, 1.5000000E+001, 3.0352051E+002, 1.4331856E+002
 1.5300000E+002, 7.9989294E-003, 9.9974388E-001, 1.3419150E-005, 1.5000000E+001, 3.0416037E+002, 1.4438834E+002
 1.5400000E+002, 7.9988698E-003, 9.9972981E-001, 1.4060735E-005, 1.5000000E+001, 3.0479724E+002, 1.4545610E+002
 1.5500000E+002, 7.9988074E-003, 9.9971509E-001, 1.4728306E-005, 1.5000000E+001, 3.0543112E+002, 1.4652185E+002
 1.5600000E+002, 7.9987422E-003, 9.9969965E-001, 1.5422742E-005, 1.5000000E+001, 3.0606107E+002, 1.4758553E+002
 1.5700000E+002, 7.9986742E-003, 9.9968350E-001, 1.6144149E-005, 1.5000000E+001, 3.0668823E+002, 1.4864713E+002
 1.5800000E+002, 7.9986034E-003, 9.9966663E-001, 1.6894139E-005, 1.5000000E+001, 3.0731195E+002, 1.4970663E+002
 1.5900000E+002, 7.9985280E-003, 9.9964893E-001, 1.7673066E-005, 1.5000000E+001, 3.0793222E+002, 1.5076402E+002
 1.6000000E+002, 7.9984497E-003, 9.9963045E-001, 1.8481831E-005, 1.5000000E+001, 3.0854935E+002, 1.5181927E+002
 1.6100000E+002, 7.9983687E-003, 9.9961114E-001, 1.9321466E-005, 1.5000000E+001, 3.0916345E+002, 1.5287236E+002
 1.6200000E+002, 7.9982830E-003, 9.9959093E-001, 2.0192903E-005, 1.5000000E+001, 3.0977411E+002, 1.5392325E+002
 1.6300000E+002, 7.9981936E-003, 9.9956983E-001, 2.1096817E-005, 1.5000000E+001, 3.1038150E+002, 1.5497197E+002
 1.6400000E+002, 7.9981005E-003, 9.9954784E-001, 2.2034137E-005, 1.5000000E+001, 3.1098599E+002, 1.5601846E+002
 1.6500000E+002, 7.9980027E-003, 9.9952483E-001, 2.3006191E-005, 1.5000000E+001, 3.1158667E+002, 1.5706271E+002
 1.6600000E+002, 7.9979012E-003, 9.9950081E-001, 2.4012970E-005, 1.5000000E+001, 3.1218463E+002, 1.5810472E+002
 1.6700000E+002, 7.9977950E-003, 9.9947572E-001, 2.5056384E-005, 1.5000000E+001, 3.1277911E+002, 1.5914447E+002
 1.6800000E+002, 7.9976842E-003, 9.9944961E-001, 2.6136746E-005, 1.5000000E+001, 3.1337042E+002, 1.6018193E+002
 1.6900000E+002, 7.9975687E-003, 9.9942237E-001, 2.7255201E-005, 1.5000000E+001, 3.1395831E+002, 1.6121709E+002
 1.7000000E+002, 7.9974476E-003, 9.9939394E-001, 2.8412333E-005, 1.5000000E+001, 3.1454346E+002, 1.6224992E+002
 1.7100000E+002, 7.9973219E-003, 9.9936432E-001, 2.9610177E-005, 1.5000000E+001, 3.1512512E+002, 1.6328043E+002
 1.7200000E+002, 7.9971906E-003, 9.9933350E-001, 3.0848438E-005, 1.5000000E+001, 3.1570346E+002, 1.6430859E+002
 1.7300000E+002, 7.9970546E-003, 9.9930137E-001, 3.2128442E-005, 1.5000000E+001, 3.1627847E+002, 1.6533441E+002
 1.7400000E+002, 7.9969121E-003, 9.9926788E-001, 3.3451070E-005, 1.5000000E+001, 3.1685062E+002, 1.6635786E+002
 1.7500000E+002, 7.9967640E-003, 9.9923307E-001, 3.4818000E-005, 1.5000000E+001, 3.1741901E+002, 1.6737892E+002
 1.7600000E+002, 7.9966104E-003, 9.9919683E-001, 3.6228714E-005, 1.5000000E+001, 3.1798492E+002, 1.6839757E+002
 1.7700000E+002, 7.9964492E-003, 9.9915916E-001, 3.7686277E-005, 1.5000000E+001, 3.1854706E+002, 1.6941380E+002
 1.7800000E+002, 7.9962825E-003, 9.9912000E-001, 3.9189577E-005, 1.5000000E+001, 3.1910583E+002, 1.7042763E+002
 1.7900000E+002, 7.9961093E-003, 9.9907923E-001, 4.0739815E-005, 1.5000000E+001, 3.1966168E+002, 1.7143900E+002
 1.8000000E+002, 7.9959286E-003, 9.9903691E-001, 4.2339274E-005, 1.5000000E+001, 3.2021402E+002, 1.7244792E+002
 1.8100000E+002, 7.9957414E-003, 9.9899292E-001, 4.3987315E-005, 1.5000000E+001, 3.2076300E+002, 1.7345438E+002
 1.8200000E+002, 7.9955468E-003, 9.9894720E-001, 4.5685360E-005, 1.5000000E+001, 3.2130911E+002, 1.7445839E+002
 1.8300000E+002, 7.9953447E-003, 9.9889982E-001, 4.7435293E-005, 1.5000000E+001, 3.2185132E+002, 1.7545988E+002
 1.8400000E+002, 7.9951352E-003, 9.9885058E-001, 4.9235678E-005, 1.5000000E+001, 3.2239066E+002, 1.7645891E+002
 1.8500000E+002, 7.9949172E-003, 9.9879944E-001, 5.1089522E-005, 1.5000000E+001, 3.2292645E+002, 1.7745540E+002
 1.8600000E+002, 7.9946909E-003, 9.9874645E-001, 5.2996409E-005, 1.5000000E+001, 3.2345926E+002, 1.7844940E+002
 1.8700000E+002, 7.9944562E-003, 9.9869150E-001, 5.4958306E-005, 1.5000000E+001, 3.2398831E+002, 1.7944086E+002
 1.8800000E+002, 7.9942131E-003, 9.9863452E-001, 5.6974302E-005, 1.5000000E+001, 3.2451428E+002, 1.8042976E+002
 1.8900000E+002, 7.9939608E-003, 9.9857551E-001, 5.9046321E-005, 1.5000000E+001, 3.2503705E+002, 1.8141611E+002
 1.9000000E+002, 7.9937000E-003, 9.9851429E-001, 6.1175415E-005, 1.5000000E+001, 3.2555603E+002, 1.8239992E+002
 1.9100000E+002, 7.9934290E-003, 9.9845093E-001, 6.3360603E-005, 1.5000000E+001, 3.2607196E+002, 1.8338113E+002
 1.9200000E+002, 7.9931486E-003, 9.9838537E-001, 6.5604123E-005, 1.5000000E+001, 3.2658432E+002, 1.8435979E+002
 1.9300000E+002, 7.9928590E-003, 9.9831742E-001, 6.7905756E-005, 1.5000000E+001, 3.2709338E+002, 1.8533585E+002
 1.9400000E+002, 7.9925582E-003, 9.9824721E-001, 7.0266535E-005, 1.5000000E+001, 3.2759933E+002, 1.8630928E+002
